,order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
105,2288946,13,prior,3,6,21,6.0
106,19256,13,prior,4,1,12,9.0
107,1378982,13,prior,5,0,13,6.0
108,2363981,13,prior,6,0,18,7.0
109,1906169,13,prior,7,0,8,7.0
110,1757094,13,prior,8,6,18,13.0
111,519471,13,prior,9,6,17,7.0
112,2298068,13,prior,10,6,22,7.0
113,1472646,13,prior,11,0,14,8.0
114,1789302,13,prior,12,6,13,6.0
115,1827621,13,train,13,0,21,8.0
116,2906263,14,prior,1,2,18,
117,3206747,14,prior,2,5,8,30.0
118,1366559,14,prior,3,0,14,2.0
119,1385564,14,prior,4,6,8,20.0
120,1691859,14,prior,5,5,8,30.0
121,2127409,14,prior,6,1,8,30.0
122,2505309,14,prior,7,5,10,30.0
123,3067644,14,prior,8,4,8,27.0
124,2109666,14,prior,9,5,9,30.0
125,1625325,14,prior,10,4,21,30.0
126,1335295,14,prior,11,1,5,25.0
127,2045336,14,prior,12,5,9,4.0
128,3394109,14,prior,13,5,5,7.0
129,2316178,14,train,14,2,19,11.0
130,2514324,15,prior,1,5,13,
131,3135826,15,prior,2,6,12,15.0
132,2564002,15,prior,3,6,12,7.0
133,714991,15,prior,4,1,11,16.0
134,3317979,15,prior,5,4,15,17.0
135,876095,15,prior,6,5,11,8.0
136,2685110,15,prior,7,1,11,17.0
137,3119091,15,prior,8,2,17,8.0
138,887727,15,prior,9,2,13,7.0
139,2570697,15,prior,10,2,10,21.0
140,2600170,15,prior,11,2,9,14.0
141,2883598,15,prior,12,1,8,6.0
142,2332087,15,prior,13,1,10,14.0
143,113728,15,prior,14,1,10,14.0
144,2968173,15,prior,15,1,9,7.0
145,3097485,15,prior,16,1,9,7.0
146,1870022,15,prior,17,2,16,8.0
147,1911383,15,prior,18,2,11,7.0
148,2345592,15,prior,19,5,11,3.0
149,2994589,15,prior,20,1,13,10.0
150,2715276,15,prior,21,1,9,7.0
151,487368,15,prior,22,1,10,14.0
152,2161313,15,test,23,1,9,7.0
153,1273676,16,prior,1,2,8,
154,875885,16,prior,2,1,13,20.0
155,1491849,16,prior,3,1,20,21.0
156,2704482,16,prior,4,6,14,12.0
157,3192400,16,prior,5,2,14,30.0
158,2000615,16,prior,6,0,14,26.0
159,1416320,16,test,7,0,13,7.0
160,1737705,17,prior,1,2,13,
161,1681401,17,prior,2,5,10,3.0
162,2680214,17,prior,3,3,10,5.0
163,3197376,17,prior,4,1,14,5.0
164,3237467,17,prior,5,6,17,5.0
165,2616505,17,prior,6,4,17,5.0
166,2648319,17,prior,7,1,13,4.0
167,2430354,17,prior,8,0,15,6.0
168,2373492,17,prior,9,3,13,3.0
169,900554,17,prior,10,0,15,4.0
170,805025,17,prior,11,4,15,4.0
171,912404,17,prior,12,2,14,5.0
172,1389057,17,prior,13,1,13,6.0
173,603534,17,prior,14,6,17,5.0
174,2660930,17,prior,15,2,16,3.0
175,1719551,17,prior,16,1,12,6.0
176,601444,17,prior,17,5,21,4.0
177,2956367,17,prior,18,6,12,8.0
178,2508834,17,prior,19,5,11,6.0
179,415389,17,prior,20,5,13,7.0
180,3141030,17,prior,21,2,12,4.0
181,603376,17,prior,22,6,16,4.0
182,3069802,17,prior,23,3,23,4.0
183,1683378,17,prior,24,1,10,5.0
184,2795254,17,prior,25,0,11,6.0
185,343199,17,prior,26,5,17,5.0
186,1385847,17,prior,27,4,10,6.0
187,3314059,17,prior,28,1,9,4.0
188,697863,17,prior,29,6,14,5.0
189,2148135,17,prior,30,6,15,0.0
190,3327122,17,prior,31,4,12,5.0
191,2760791,17,prior,32,1,22,4.0
192,2553089,17,prior,33,3,11,9.0
193,791858,17,prior,34,5,12,16.0
194,2773605,17,prior,35,6,13,8.0
195,674977,17,prior,36,3,12,30.0
196,2831726,17,prior,37,2,12,13.0
197,1385397,17,prior,38,1,15,30.0
198,348137,17,prior,39,5,16,11.0
199,3350883,17,prior,40,4,11,27.0
200,2180313,17,train,41,3,10,30.0
201,2780889,18,prior,1,6,18,
202,3106101,18,prior,2,0,17,1.0
203,1860960,18,prior,3,1,19,8.0
204,3133044,18,prior,4,0,16,6.0
205,1020460,18,prior,5,2,16,9.0
206,441977,18,prior,6,6,12,4.0
207,2461523,18,train,7,6,9,7.0
208,1321974,19,prior,1,6,13,
209,2293453,19,prior,2,5,14,6.0
210,2208892,19,prior,3,0,14,16.0
211,2808909,19,prior,4,5,12,5.0
212,1973799,19,prior,5,6,12,8.0
213,2474845,19,prior,6,5,13,20.0
214,532817,19,prior,7,4,17,6.0
215,2483716,19,prior,8,4,4,7.0
216,86918,19,prior,9,5,16,8.0
217,1735923,19,test,10,6,17,8.0
218,947722,20,prior,1,1,10,
219,157550,20,prior,2,3,16,2.0
220,3408319,20,prior,3,2,11,6.0
221,2741696,20,prior,4,2,11,7.0
222,1980631,20,test,5,1,11,30.0
223,2625565,21,prior,1,1,10,
224,2698037,21,prior,2,1,9,7.0
225,1166994,21,prior,3,1,13,7.0
226,129152,21,prior,4,1,14,14.0
227,62373,21,prior,5,1,14,7.0
228,2984916,21,prior,6,5,6,4.0
229,1716848,21,prior,7,5,9,28.0
230,3288630,21,prior,8,2,13,18.0
231,2592860,21,prior,9,4,10,2.0
232,1573906,21,prior,10,3,10,6.0
233,2102674,21,prior,11,1,15,12.0
234,534401,21,prior,12,1,9,21.0
235,2510446,21,prior,13,5,11,4.0
236,1082944,21,prior,14,1,9,10.0
237,3257456,21,prior,15,1,9,7.0
238,774475,21,prior,16,1,11,7.0
239,1953572,21,prior,17,2,15,1.0
240,1674891,21,prior,18,2,11,21.0
241,77791,21,prior,19,3,9,8.0
242,1413723,21,prior,20,1,10,12.0
243,1806047,21,prior,21,1,9,7.0
244,1431584,21,prior,22,3,9,9.0
245,2941505,21,prior,23,2,13,6.0
246,1322450,21,prior,24,5,8,3.0
247,1776467,21,prior,25,5,8,7.0
248,497940,21,prior,26,1,11,10.0
249,1735495,21,prior,27,3,8,9.0
250,1996394,21,prior,28,1,9,5.0
251,1110781,21,prior,29,2,9,8.0
252,2097221,21,prior,30,1,11,6.0
253,2057208,21,prior,31,3,15,9.0
254,865324,21,prior,32,1,13,12.0
255,3341737,21,prior,33,1,12,30.0
256,1854765,21,train,34,1,12,28.0
257,2300537,22,prior,1,3,7,
258,144358,22,prior,2,3,7,30.0
259,1219654,22,prior,3,0,21,4.0
260,2922708,22,prior,4,3,11,30.0
261,3393222,22,prior,5,5,21,16.0
262,2327987,22,prior,6,1,19,17.0
263,2455079,22,prior,7,6,17,5.0
264,634494,22,prior,8,5,9,13.0
265,1014994,22,prior,9,5,15,28.0
266,3227049,22,prior,10,3,19,5.0
267,2780464,22,prior,11,5,12,2.0
268,194741,22,prior,12,0,8,2.0
269,1766930,22,prior,13,5,10,5.0
270,3090814,22,prior,14,1,19,3.0
271,2647850,22,prior,15,4,10,30.0
272,139655,22,test,16,5,6,1.0
273,1792521,23,prior,1,5,14,
274,8382,23,prior,2,0,10,9.0
275,1902489,23,prior,3,5,12,5.0
276,1072926,23,prior,4,3,11,30.0
277,3402036,23,train,5,1,12,30.0
278,611214,24,prior,1,3,20,
279,1869748,24,prior,2,6,16,3.0
280,1511050,24,prior,3,3,21,30.0
281,2877797,24,prior,4,6,10,24.0
282,118133,24,prior,5,0,11,30.0
283,816714,24,prior,6,6,8,13.0
284,1415679,24,prior,7,0,8,15.0
285,3064712,24,prior,8,1,20,8.0
286,1640680,24,prior,9,1,8,30.0
287,3354579,24,prior,10,5,17,18.0
288,3320181,24,prior,11,4,14,6.0
289,2126098,24,prior,12,5,16,22.0
290,2586085,24,prior,13,2,11,11.0
291,1103927,24,prior,14,6,8,4.0
292,1368577,24,prior,15,0,10,15.0
293,2635041,24,prior,16,0,9,7.0
294,196008,24,prior,17,0,20,14.0
295,173172,24,prior,18,0,16,14.0
296,965160,24,train,19,0,16,0.0
297,2610576,25,prior,1,1,14,
298,2994388,25,prior,2,1,20,30.0
299,258751,25,prior,3,5,19,30.0
300,1411408,25,test,4,0,15,30.0
301,3229714,26,prior,1,2,15,
302,2284750,26,prior,2,5,11,10.0
303,1488077,26,prior,3,5,10,7.0
304,1798774,26,prior,4,4,20,6.0
305,2018734,26,prior,5,5,9,8.0
306,2827207,26,prior,6,2,15,11.0
307,2097636,26,prior,7,1,13,30.0
308,2923351,26,prior,8,3,11,30.0
309,2063028,26,prior,9,3,9,14.0
310,3350048,26,prior,10,3,14,7.0
311,135696,26,prior,11,4,17,8.0
312,232721,26,prior,12,4,17,7.0
313,2940603,26,test,13,5,14,8.0
314,361493,27,prior,1,3,9,
315,1662354,27,prior,2,2,17,6.0
316,965677,27,prior,3,3,8,1.0
317,2842504,27,prior,4,5,13,2.0
318,1007361,27,prior,5,2,15,4.0
319,2792524,27,prior,6,4,9,9.0
320,1771198,27,prior,7,2,14,5.0
321,1460681,27,prior,8,3,15,1.0
322,3317805,27,prior,9,4,13,1.0
323,3149167,27,prior,10,4,15,7.0
324,3141790,27,prior,11,5,11,1.0
325,1380784,27,prior,12,1,11,3.0
326,1659155,27,prior,13,2,17,1.0
327,1406911,27,prior,14,3,9,8.0
328,3247231,27,prior,15,1,14,5.0
329,2705360,27,prior,16,2,16,8.0
330,1523605,27,prior,17,2,9,7.0
331,3137551,27,prior,18,1,15,20.0
332,900590,27,prior,19,3,9,9.0
333,1060278,27,prior,20,1,16,12.0
334,1149132,27,prior,21,2,11,8.0
335,2729473,27,prior,22,3,8,8.0
336,612679,27,prior,23,2,13,6.0
337,3162630,27,prior,24,2,15,0.0
338,338996,27,prior,25,5,10,10.0
339,2305567,27,prior,26,5,14,7.0
340,1311494,27,prior,27,1,15,17.0
341,1641287,27,prior,28,3,10,2.0
342,654294,27,prior,29,3,14,0.0
343,1111867,27,prior,30,4,16,1.0
344,1194452,27,prior,31,2,14,5.0
345,3147283,27,prior,32,5,10,10.0
346,1666812,27,prior,33,4,15,6.0
347,2695034,27,prior,34,2,15,5.0
348,129025,27,prior,35,3,16,1.0
349,920968,27,prior,36,5,14,2.0
350,2005447,27,prior,37,1,10,3.0
351,1603399,27,prior,38,2,16,1.0
352,3176698,27,prior,39,1,14,6.0
353,3374715,27,prior,40,4,10,3.0
354,2392592,27,prior,41,5,10,1.0
355,1374792,27,prior,42,5,14,0.0
356,1849805,27,prior,43,5,15,0.0
357,225381,27,prior,44,2,14,4.0
358,3037479,27,prior,45,4,9,2.0
359,419099,27,prior,46,1,10,4.0
360,3359528,27,prior,47,2,14,1.0
361,1380270,27,prior,48,3,10,1.0
362,1067581,27,prior,49,3,14,0.0
363,3094422,27,prior,50,4,14,1.0
364,933179,27,prior,51,2,9,5.0
365,682914,27,prior,52,3,15,15.0
366,1149184,27,prior,53,2,9,6.0
367,65724,27,prior,54,4,15,2.0
368,2244394,27,prior,55,2,16,5.0
369,1025119,27,prior,56,3,11,1.0
370,1559403,27,prior,57,4,13,1.0
371,1615255,27,prior,58,5,8,1.0
372,1201330,27,prior,59,3,9,5.0
373,3146978,27,prior,60,4,15,1.0
374,230851,27,prior,61,1,13,4.0
375,771049,27,prior,62,2,10,1.0
376,7099,27,prior,63,3,10,1.0
377,2716757,27,prior,64,1,15,5.0
378,804483,27,prior,65,4,10,3.0
379,2325503,27,prior,66,1,12,4.0
380,1832360,27,prior,67,5,10,4.0
381,1560223,27,prior,68,2,8,4.0
382,2999232,27,prior,69,2,14,0.0
383,1250733,27,prior,70,3,15,1.0
384,2569634,27,prior,71,1,13,5.0
385,1225000,27,prior,72,1,13,7.0
386,994572,27,prior,73,5,14,4.0
387,2138705,27,prior,74,5,14,7.0
388,264488,27,prior,75,1,11,10.0
389,3276527,27,prior,76,1,14,0.0
390,625018,27,prior,77,1,8,7.0
391,568636,27,prior,78,5,15,4.0
392,2546638,27,prior,79,3,11,5.0
393,1837192,27,prior,80,2,8,6.0
394,1573122,27,prior,81,1,13,6.0
395,2614670,27,train,82,5,14,4.0
396,1138968,28,prior,1,0,14,
397,1589342,28,prior,2,5,13,19.0
398,3331846,28,prior,3,0,16,2.0
399,1782508,28,prior,4,3,16,17.0
400,1432100,28,prior,5,2,15,27.0
401,358148,28,prior,6,2,12,14.0
402,2657750,28,prior,7,1,17,6.0
403,2695156,28,prior,8,0,16,13.0
404,1584053,28,prior,9,1,15,30.0
405,1639907,28,prior,10,0,17,6.0
406,2760669,28,prior,11,0,7,30.0
407,1819575,28,prior,12,1,19,1.0
408,1272493,28,prior,13,5,17,11.0
409,279523,28,prior,14,2,13,18.0
410,2810971,28,prior,15,3,17,15.0
411,1481969,28,prior,16,4,12,1.0
412,181977,28,prior,17,5,13,1.0
413,979759,28,prior,18,0,17,9.0
414,2070736,28,prior,19,5,16,12.0
415,760273,28,prior,20,1,13,10.0
416,1385910,28,prior,21,2,17,1.0
417,1818037,28,prior,22,2,15,7.0
418,2195945,28,prior,23,1,14,6.0
419,1978052,28,prior,24,0,15,13.0
420,1192143,28,test,25,1,16,8.0
421,2064090,29,prior,1,5,11,
422,875452,29,prior,2,2,8,11.0
423,2657652,29,prior,3,2,10,14.0
424,2999889,29,prior,4,6,8,11.0
425,1207762,29,prior,5,1,11,9.0
426,370715,29,prior,6,5,11,11.0
427,1049206,29,prior,7,1,12,10.0
428,2655002,29,prior,8,4,13,10.0
429,685887,29,prior,9,6,13,9.0
430,3167222,29,prior,10,5,11,13.0
431,2865794,29,prior,11,5,9,7.0
432,1062536,29,prior,12,4,8,13.0
433,620971,29,prior,13,5,8,8.0
434,3090640,29,prior,14,1,13,17.0
435,3202175,29,prior,15,3,11,16.0
436,2376709,29,prior,16,1,11,12.0
437,1748639,29,prior,17,5,13,11.0
438,1647841,29,prior,18,5,11,14.0
439,3110252,29,train,19,4,11,13.0
440,375303,30,prior,1,1,13,
441,2156000,30,prior,2,1,10,7.0
442,3169631,30,prior,3,1,22,7.0
443,1645927,30,prior,4,2,13,22.0
444,986094,30,prior,5,2,11,30.0
445,2299885,30,prior,6,1,19,27.0
446,137318,30,prior,7,1,6,28.0
447,3333738,30,prior,8,1,8,30.0
448,62370,30,train,9,2,13,22.0
449,2150649,31,prior,1,5,11,
450,695934,31,prior,2,5,11,0.0
451,638062,31,prior,3,4,12,6.0
452,2135842,31,prior,4,3,13,6.0
453,2623412,31,prior,5,0,16,4.0
454,1183257,31,prior,6,0,16,7.0
455,1341128,31,prior,7,2,13,2.0
456,1120389,31,prior,8,0,11,5.0
457,3352995,31,prior,9,3,12,3.0
458,1593000,31,prior,10,3,8,7.0
459,2582407,31,prior,11,1,7,5.0
460,673583,31,prior,12,4,12,10.0
461,3035956,31,prior,13,3,11,6.0
462,2951746,31,prior,14,2,9,6.0
463,2258440,31,prior,15,1,8,6.0
464,2647083,31,prior,16,2,8,8.0
465,2231262,31,prior,17,3,11,8.0
466,963053,31,prior,18,3,11,0.0
467,813240,31,prior,19,0,17,4.0
468,1765409,31,prior,20,0,17,0.0
469,280888,31,test,21,4,9,18.0
470,134879,32,prior,1,3,12,
471,1275838,32,prior,2,3,12,30.0
472,1709286,32,prior,3,2,10,20.0
473,72626,32,prior,4,3,9,1.0
474,1210985,32,prior,5,1,23,30.0
475,3202221,32,test,6,1,13,30.0
476,2906103,33,prior,1,3,14,
477,2612991,33,prior,2,2,16,27.0
478,1537903,33,prior,3,1,19,30.0
479,3222866,33,test,4,6,17,19.0
480,2383661,34,prior,1,4,15,
481,1569834,34,prior,2,4,7,28.0
482,1916863,34,prior,3,4,14,21.0
483,1951139,34,prior,4,0,11,10.0
484,2344038,34,prior,5,0,15,21.0
485,698604,34,train,6,4,13,30.0
486,1269089,35,prior,1,5,21,
487,2562704,35,prior,2,3,16,26.0
488,1136841,35,prior,3,6,9,30.0
489,457048,35,prior,4,0,20,22.0
490,2880466,35,prior,5,5,16,30.0
491,1830981,35,prior,6,6,10,1.0
492,3309528,35,prior,7,3,18,4.0
493,1316279,35,prior,8,4,17,30.0
494,2903057,35,prior,9,4,16,28.0
495,707453,35,test,10,4,15,21.0
496,3285797,36,prior,1,4,17,
497,412111,36,prior,2,5,18,8.0
498,240889,36,prior,3,5,17,21.0
499,1602446,36,prior,4,1,11,10.0
500,2472897,36,prior,5,4,15,3.0
501,1626957,36,prior,6,5,15,15.0
502,453864,36,prior,7,6,14,15.0
503,2010389,36,prior,8,3,17,4.0
504,278124,36,prior,9,0,11,4.0
505,14400,36,prior,10,1,18,1.0
506,1145961,36,prior,11,5,19,4.0
507,746041,36,prior,12,0,16,9.0
508,682472,36,prior,13,6,15,20.0
509,3067639,36,prior,14,0,12,22.0
510,2640464,36,prior,15,5,17,12.0
511,479244,36,prior,16,3,21,5.0
512,409708,36,prior,17,0,15,11.0
513,423623,36,prior,18,4,17,18.0
514,664952,36,prior,19,0,8,3.0
515,2833188,36,prior,20,4,9,25.0
516,1185674,36,prior,21,0,9,3.0
517,2890966,36,prior,22,3,12,3.0
518,2671410,36,prior,23,4,17,22.0
519,1189699,36,prior,24,2,7,5.0
520,2138456,36,prior,25,4,10,9.0
521,669187,36,prior,26,3,18,6.0
522,1460684,36,prior,27,5,21,16.0
523,2795573,36,prior,28,0,11,16.0
524,1719560,36,prior,29,3,21,3.0
525,2693179,36,prior,30,3,21,0.0
526,903277,36,prior,31,6,12,10.0
527,2527665,36,prior,32,0,9,8.0
528,2230383,36,prior,33,3,19,3.0
529,793311,36,prior,34,6,11,10.0
530,1032510,36,prior,35,0,16,15.0
531,182125,36,prior,36,4,12,4.0
532,2710884,36,prior,37,4,12,7.0
533,1320132,36,test,38,0,8,3.0
534,327827,37,prior,1,2,10,
535,86313,37,prior,2,6,12,4.0
536,1354506,37,prior,3,0,1,8.0
537,2153671,37,prior,4,1,14,8.0
538,2449761,37,prior,5,2,14,8.0
539,484397,37,prior,6,5,17,10.0
540,2568429,37,prior,7,1,19,10.0
541,711999,37,prior,8,3,19,23.0
542,1145920,37,prior,9,6,14,17.0
543,1736749,37,prior,10,3,18,11.0
544,2484696,37,prior,11,4,11,8.0
545,712331,37,prior,12,6,22,30.0
546,1740853,37,prior,13,6,19,14.0
547,1394419,37,prior,14,5,14,20.0
548,1751600,37,prior,15,0,16,30.0
549,1854906,37,prior,16,5,17,5.0
550,1179244,37,prior,17,4,14,6.0
551,2615608,37,prior,18,5,17,15.0
552,2326295,37,prior,19,1,16,10.0
553,841710,37,prior,20,3,16,9.0
554,3268585,37,prior,21,2,13,13.0
555,1294288,37,prior,22,6,15,30.0
556,1727614,37,prior,23,5,16,6.0
557,1524161,37,train,24,0,13,16.0
558,2873174,38,prior,1,0,10,
559,1308004,38,prior,2,4,11,30.0
560,1588002,38,prior,3,0,11,17.0
561,1691300,38,prior,4,6,12,20.0
562,1244041,38,prior,5,0,14,22.0
563,718156,38,prior,6,6,9,13.0
564,894015,38,prior,7,6,10,28.0
565,795223,38,prior,8,6,18,28.0
566,3204829,38,prior,9,6,16,7.0
567,2980672,38,prior,10,5,8,27.0
568,725451,38,prior,11,0,0,9.0
569,2479273,38,prior,12,1,13,30.0
570,3173750,38,train,13,0,9,30.0
571,2782479,39,prior,1,0,12,
572,971516,39,prior,2,0,15,7.0
573,127769,39,prior,3,6,17,6.0
574,524816,39,prior,4,6,10,7.0
575,859009,39,prior,5,6,19,7.0
576,1493525,39,prior,6,0,12,15.0
577,2754717,39,prior,7,6,16,30.0
578,882556,39,test,8,6,13,7.0
579,2570028,40,prior,1,0,9,
580,2309440,40,prior,2,1,10,8.0
581,1469897,40,prior,3,6,11,12.0
582,2621404,40,prior,4,0,12,8.0
583,1132197,40,prior,5,6,9,20.0
584,2640967,40,prior,6,0,9,15.0
585,2215173,40,prior,7,0,8,21.0
586,423262,40,prior,8,0,10,7.0
587,1145465,40,prior,9,0,9,14.0
588,2431024,40,test,10,0,8,7.0
589,252244,41,prior,1,6,16,
590,2111787,41,prior,2,2,20,24.0
591,2838655,41,prior,3,0,13,30.0
592,2196695,41,prior,4,1,12,22.0
593,3083886,41,prior,5,0,19,27.0
594,2032076,41,train,6,0,20,30.0
595,940313,42,prior,1,2,10,
596,1816335,42,prior,2,1,15,6.0
597,19190,42,prior,3,1,19,7.0
598,77399,42,prior,4,1,9,7.0
599,2848715,42,prior,5,2,18,8.0
600,1560102,42,prior,6,1,19,13.0
601,232622,42,prior,7,3,13,9.0
602,378457,42,prior,8,0,10,11.0
603,521231,42,prior,9,3,19,24.0
604,2019391,42,prior,10,5,1,9.0
605,2315446,42,prior,11,3,18,19.0
606,2083588,42,prior,12,2,13,20.0
607,1602489,42,prior,13,4,12,9.0
608,2204386,42,prior,14,5,16,22.0
609,278626,42,prior,15,0,15,30.0
610,3034563,42,prior,16,0,13,14.0
611,2803975,42,train,17,0,11,14.0
612,606677,43,prior,1,1,18,
613,1530871,43,prior,2,4,19,24.0
614,656728,43,prior,3,4,11,7.0
615,634665,43,prior,4,3,18,6.0
616,2412774,43,prior,5,0,17,11.0
617,2580647,43,prior,6,4,16,4.0
618,1630444,43,prior,7,0,12,10.0
619,455561,43,prior,8,1,17,15.0
620,2187180,43,prior,9,4,12,3.0
621,3094389,43,prior,10,5,15,15.0
622,2770903,43,prior,11,0,12,9.0
623,1864787,43,train,12,5,11,26.0
624,1359969,44,prior,1,0,7,
625,462713,44,prior,2,1,9,30.0
626,2699868,44,prior,3,0,9,30.0
627,2436259,44,train,4,0,12,30.0
628,300892,45,prior,1,1,20,
629,784714,45,prior,2,6,19,12.0
630,374526,45,prior,3,3,20,18.0
631,1902833,45,prior,4,2,8,30.0
632,2827745,45,test,5,5,10,3.0
633,3345812,46,prior,1,1,16,
634,31801,46,prior,2,1,13,7.0
635,3102839,46,prior,3,1,16,0.0
636,2539168,46,prior,4,1,11,14.0
637,2518161,46,prior,5,1,17,30.0
638,1406544,46,prior,6,1,15,28.0
639,821110,46,prior,7,1,12,28.0
640,398975,46,prior,8,1,12,21.0
641,3198849,46,prior,9,1,16,14.0
642,1538381,46,prior,10,0,12,6.0
643,244623,46,prior,11,0,12,7.0
644,2998652,46,prior,12,0,16,14.0
645,1876837,46,prior,13,0,13,14.0
646,1945511,46,prior,14,0,14,14.0
647,2596585,46,prior,15,0,16,28.0
648,1254066,46,prior,16,0,15,21.0
649,2661433,46,prior,17,6,17,30.0
650,2681913,46,prior,18,0,9,22.0
651,2009771,46,prior,19,0,16,21.0
652,1947848,46,train,20,4,20,11.0
653,2857489,47,prior,1,5,16,
654,1303645,47,prior,2,6,15,1.0
655,2532123,47,prior,3,4,13,5.0
656,2201188,47,prior,4,2,10,12.0
657,1899315,47,prior,5,2,22,14.0
658,2906490,47,train,6,4,22,16.0
659,1035233,48,prior,1,6,16,
660,3166874,48,prior,2,5,13,27.0
661,2766710,48,prior,3,6,9,15.0
662,501067,48,prior,4,5,12,27.0
663,1643524,48,prior,5,6,10,29.0
664,1657641,48,prior,6,5,9,27.0
665,749250,48,prior,7,6,11,29.0
666,795269,48,prior,8,6,11,14.0
667,3067391,48,prior,9,5,18,13.0
668,555834,48,prior,10,5,22,14.0
669,2924697,48,train,11,5,18,14.0
670,1216869,49,prior,1,2,9,
671,2406693,49,prior,2,6,19,30.0
672,3283823,49,prior,3,5,14,30.0
673,1526098,49,prior,4,3,16,30.0
674,1557694,49,prior,5,1,12,19.0
675,379097,49,prior,6,1,11,30.0
676,500437,49,prior,7,2,15,30.0
677,1250641,49,prior,8,2,11,28.0
678,519514,49,train,9,4,12,2.0
679,1363380,50,prior,1,3,9,
